,close,EMA_12,EMA_26,MACD,Signal,MACD_Histogram,Buy_Signal,Sell_Signal
49,237.02,239.0057697668101,239.49835943813312,-0.49258967132303155,-0.41520861625179534,-0.07738105507123622,False,True
50,238.17,238.87718980268545,239.39996244271586,-0.5227726400304107,-0.43672142100751843,-0.08605121902289226,False,False
51,238.17,238.76839137150307,239.30885411362578,-0.5404627421227133,-0.4574696852305574,-0.08299305689215586,False,False
52,238.97,238.79940808357952,239.28375380891276,-0.4843457253332417,-0.4628448932510943,-0.021500832082147425,False,False
53,237.38,238.5810376091827,239.14273500825254,-0.5616973990698568,-0.4826153944148468,-0.07908200465501003,False,False
54,236.5,238.26087797700075,238.94697685949308,-0.6860988824923311,-0.5233120920303437,-0.1627867904619874,False,False
55,236.5,237.9899736728468,238.76571931434546,-0.7757456414986734,-0.5737988019240097,-0.20194683957466375,False,False
56,237.31,237.8853623385627,238.65788825402356,-0.772525915460875,-0.6135442246313828,-0.1589816908294922,False,False
57,237.31,237.7968450557069,238.55804467965143,-0.7611996239445205,-0.6430753044940104,-0.11812431945051005,False,False
58,238.98,237.97886889329047,238.58930062930688,-0.6104317360164089,-0.6365465907984902,0.02611485478208131,True,False
59,238.0,237.98211983278424,238.5456487308397,-0.5635288980554662,-0.6219430522498854,0.0584141541944192,False,False
60,238.9,238.12333216620203,238.57189697299975,-0.4485648067977195,-0.5872674031594523,0.13870259636173277,False,False
61,237.15,237.9735887560171,238.46657127129606,-0.4929825152789533,-0.5684104255833525,0.07542791030439921,False,False
62,237.15,237.84688279355294,238.36904747342228,-0.5221646798693484,-0.5591612764405517,0.036996596571203244,False,False
63,238.8,237.9935162099294,238.40096988279842,-0.4074536728690248,-0.5288197557262464,0.12136608285722161,False,False
64,238.75,238.10989833147872,238.4268239655541,-0.3169256340753748,-0.4864409313960721,0.1695152973206973,False,False
65,238.7,238.2006832035589,238.44705922736492,-0.24637602380602175,-0.43842794987806205,0.1920519260720403,False,False
66,238.7,238.27750117224213,238.46579558089346,-0.1882944086513305,-0.3884012416327158,0.20010683298138526,False,False
67,237.25,238.11942406882025,238.37573664897542,-0.2563125801551678,-0.3619835093372062,0.10567092918203841,False,False
