buy_date,sell_date,buy_price,sell_price,profit,return_pct
5331,5337,260.95,260.05,-89.99999999999773,-0.34489365778883974
5361,5368,259.05,258.0,-105.00000000000114,-0.40532715691951793
5382,5419,256.95,256.85,-9.99999999999659,-0.03891807744696085
5428,5443,258.8,256.15,-265.0000000000034,-1.0239567233384985
5460,5475,256.6,256.9,29.999999999995453,0.11691348402180612
5497,5516,257.2,258.1,90.00000000000341,0.3499222395023461
5537,5546,258.0,257.6,-39.999999999997726,-0.15503875968991368
5570,5571,255.9,255.55,-34.99999999999943,-0.13677217663149446
5572,5592,256.4,256.9,50.0,0.19500780031201248
5607,5614,257.25,256.2,-105.00000000000114,-0.4081632653061269
5625,5635,259.55,255.65,-390.00000000000057,-1.5026006549797748
5645,5650,257.9,257.2,-69.99999999999886,-0.27142303218301234
5660,5665,258.35,257.5,-85.00000000000227,-0.32901103154636063
5668,5673,257.8,257.3,-50.0,-0.1939487975174554
5680,5695,257.9,259.2,130.00000000000114,0.5040713454827497
5734,5736,258.05,257.7,-35.000000000002274,-0.13563262933540893
5739,5749,258.0,257.5,-50.0,-0.1937984496124031
5759,5769,257.1,256.6,-50.0,-0.19447685725398678
5770,5776,257.0,256.55,-44.99999999999886,-0.17509727626458702
5782,5790,257.25,256.5,-75.0,-0.2915451895043732
5793,5795,257.0,256.2,-80.00000000000114,-0.31128404669261145
5796,5797,256.75,256.45,-30.000000000001137,-0.11684518013632379
5800,5817,256.9,256.85,-4.9999999999954525,-0.01946282600231784
5819,5823,257.25,256.95,-30.000000000001137,-0.11661807580175369
5824,5825,257.25,257.05,-19.999999999998863,-0.07774538386782842
5827,5834,257.45,257.0,-44.99999999999886,-0.17479122159642208
5865,5866,256.95,256.6,-34.99999999999659,-0.13621327106439615
5867,5884,256.95,257.35,40.00000000000341,0.15567230978790975
5900,5907,257.45,257.0,-44.99999999999886,-0.17479122159642208
5910,5919,257.5,257.3,-19.999999999998863,-0.07766990291261694
5921,5938,257.8,258.25,44.99999999999886,0.17455391776570545
5965,5980,257.95,258.0,5.000000000001137,0.01938360147315812
5997,6008,258.0,258.4,39.999999999997726,0.15503875968991368
6021,6025,259.2,257.8,-139.99999999999773,-0.5401234567901146
